LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1740487275.885067,3152878.000,49283,2,PI,1,100,177994
1740487275.925069,3152918.000,49283,2,PI,1,100,176960
1740487275.965070,3152958.000,49299,3,PI,1,100,176315
1740487276.005072,3152998.000,49299,3,PI,1,100,176452
1740487276.045074,3153038.000,49299,3,PI,1,100,176883
1740487276.085075,3153078.000,49317,2,PI,1,100,177242
1740487276.125077,3153118.000,49317,2,PI,1,100,177493
1740487276.165079,3153158.000,49335,3,PI,1,100,177647
1740487276.205080,3153198.000,49335,3,PI,1,100,177636
1740487276.245082,3153238.000,49335,3,PI,1,100,177569
1740487276.285084,3153278.000,49351,4,PI,1,100,177580
1740487276.325085,3153318.000,49351,4,PI,1,100,177661
1740487276.365087,3153358.000,49351,4,PI,1,100,177725
1740487276.405088,3153398.000,49351,4,PI,1,100,177828
1740487276.445090,3153438.000,49368,3,PI,1,100,177880
1740487276.485092,3153478.000,49368,3,PI,1,100,177888
1740487276.525093,3153518.000,49368,3,PI,1,100,177947
1740487276.565095,3153558.000,49385,2,PI,1,100,177973
1740487276.605097,3153598.000,49385,2,PI,1,100,177905
1740487276.645098,3153638.000,49399,3,PI,1,100,176899
1740487276.685100,3153678.000,49399,3,PI,1,100,176224
1740487276.725102,3153718.000,49399,3,PI,1,100,176350
1740487276.765103,3153758.000,49417,2,PI,1,100,176778
1740487276.805105,3153798.000,49417,2,PI,1,100,177163
1740487276.845106,3153838.000,49435,3,PI,1,100,177408
1740487276.885108,3153878.000,49435,3,PI,1,100,177547
1740487276.925110,3153918.000,49435,3,PI,1,100,177548
1740487276.965111,3153958.000,49452,3,PI,1,100,177520
1740487277.005113,3153998.000,49452,3,PI,1,100,177510
1740487277.045115,3154038.000,49452,3,PI,1,100,177581
1740487277.091617,3154084.500,49467,2,PI,1,100,177672
1740487277.138118,3154131.000,49467,2,PI,1,100,177719
1740487277.178120,3154171.000,49484,2,PI,1,100,177812
1740487277.218122,3154211.000,49484,2,PI,1,100,177846
1740487277.258123,3154251.000,49500,3,PI,1,100,177883
1740487277.298125,3154291.000,49500,3,PI,1,100,177942
1740487277.338127,3154331.000,49500,3,PI,1,100,177833
1740487277.378128,3154371.000,49517,2,PI,1,100,176897
1740487277.418130,3154411.000,49517,2,PI,1,100,176285
1740487277.458132,3154451.000,49533,3,PI,1,100,176484
1740487277.498133,3154491.000,49533,3,PI,1,100,176919
1740487277.538135,3154531.000,49533,3,PI,1,100,177296
1740487277.578137,3154571.000,49551,2,PI,1,100,177530
1740487277.618138,3154611.000,49551,2,PI,1,100,177628
1740487277.658140,3154651.000,49567,3,PI,1,100,177613
1740487277.698141,3154691.000,49567,3,PI,1,100,177525
1740487277.738143,3154731.000,49567,3,PI,1,100,177556
1740487277.778145,3154771.000,49585,2,PI,1,100,177624
1740487277.818146,3154811.000,49585,2,PI,1,100,177722
