LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1740487279.791227,3156784.000,49911,3,PG,1,100,17379
1740487279.831229,3156824.000,49911,3,PG,1,100,17384
1740487279.871230,3156864.000,49926,2,PG,1,100,17391
1740487279.911232,3156904.000,49926,2,PG,1,100,17388
1740487279.951234,3156944.000,49942,3,PG,1,100,17387
1740487279.991235,3156984.000,49942,3,PG,1,100,17402
1740487280.031237,3157024.000,49942,3,PG,1,100,17398
1740487280.071239,3157064.000,49960,2,PG,1,100,17385
1740487280.111240,3157104.000,49960,2,PG,1,100,17404
1740487280.151242,3157144.000,49976,3,PG,1,100,17410
1740487280.191243,3157184.000,49976,3,PG,1,100,17400
1740487280.231245,3157224.000,49976,3,PG,1,100,17367
1740487280.271247,3157264.000,49991,2,PG,1,100,17322
1740487280.311248,3157304.000,49991,2,PG,1,100,17336
1740487280.351250,3157344.000,50007,3,PG,1,100,17331
1740487280.391252,3157384.000,50007,3,PG,1,100,17339
1740487280.431253,3157424.000,50007,3,PG,1,100,17359
1740487280.471255,3157464.000,50027,3,PG,1,100,17362
1740487280.511257,3157504.000,50027,3,PG,1,100,17345
1740487280.551258,3157544.000,50027,3,PG,1,100,17351
1740487280.591260,3157584.000,50043,2,PG,1,100,17369
1740487280.631262,3157624.000,50043,2,PG,1,100,17359
1740487280.671263,3157664.000,50059,3,PG,1,100,17379
1740487280.711265,3157704.000,50059,3,PG,1,100,17367
1740487280.751266,3157744.000,50059,3,PG,1,100,17374
1740487280.791268,3157784.000,50075,3,PG,1,100,17373
1740487280.831270,3157824.000,50075,3,PG,1,100,17376
1740487280.871271,3157864.000,50075,3,PG,1,100,17388
1740487280.911273,3157904.000,50092,2,PG,1,100,17389
1740487280.951275,3157944.000,50092,2,PG,1,100,17344
1740487280.991276,3157984.000,50108,3,PG,1,100,17294
1740487281.031278,3158024.000,50108,3,PG,1,100,17280
1740487281.071280,3158064.000,50108,3,PG,1,100,17287
1740487281.111281,3158104.000,50126,2,PG,1,100,17292
1740487281.151283,3158144.000,50126,2,PG,1,100,17304
1740487281.191284,3158184.000,50143,3,PG,1,100,17319
1740487281.231286,3158224.000,50143,3,PG,1,100,17317
1740487281.271288,3158264.000,50143,3,PG,1,100,17321
1740487281.311289,3158304.000,50159,2,PG,1,100,17329
1740487281.351291,3158344.000,50159,2,PG,1,100,17323
1740487281.391293,3158384.000,50176,3,PG,1,100,17348
1740487281.431294,3158424.000,50176,3,PG,1,100,17347
1740487281.471296,3158464.000,50176,3,PG,1,100,17357
1740487281.511298,3158504.000,50193,3,PG,1,100,17371
1740487281.551299,3158544.000,50193,3,PG,1,100,17366
1740487281.591301,3158584.000,50193,3,PG,1,100,17368
1740487281.637803,3158630.500,50209,2,PG,1,100,17363
1740487281.684305,3158677.000,50209,2,PG,1,100,17365
1740487281.724806,3158717.500,50225,2,PG,1,100,17311
1740487281.765308,3158758.000,50225,2,PG,1,100,17268
1740487281.804976,3158797.667,50241,3,PG,1,100,17266
1740487281.844645,3158837.333,50241,3,PG,1,100,17292
1740487281.884313,3158877.000,50241,3,PG,1,100,17288
1740487281.924314,3158917.000,50260,2,PG,1,100,17305
1740487281.964316,3158957.000,50260,2,PG,1,100,17310
1740487282.004318,3158997.000,50276,3,PG,1,100,17319
1740487282.044319,3159037.000,50276,3,PG,1,100,17323
1740487282.084321,3159077.000,50276,3,PG,1,100,17312
1740487282.124323,3159117.000,50292,2,PG,1,100,17321
1740487282.164324,3159157.000,50292,2,PG,1,100,17340
1740487282.204326,3159197.000,50308,3,PG,1,100,17343
1740487282.244328,3159237.000,50308,3,PG,1,100,17340
1740487282.284329,3159277.000,50308,3,PG,1,100,17351
1740487282.324331,3159317.000,50325,3,PG,1,100,17362
1740487282.364332,3159357.000,50325,3,PG,1,100,17346
1740487282.404334,3159397.000,50325,3,PG,1,100,17360
1740487282.444336,3159437.000,50342,2,PG,1,100,17338
1740487282.484337,3159477.000,50342,2,PG,1,100,17288
1740487282.524339,3159517.000,50357,3,PG,1,100,17290
1740487282.564341,3159557.000,50357,3,PG,1,100,17285
1740487282.604342,3159597.000,50357,3,PG,1,100,17315
1740487282.644344,3159637.000,50375,2,PG,1,100,17321
1740487282.684346,3159677.000,50375,2,PG,1,100,17327
