LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1740487274.752021,3151745.000,49101,2,PR,1,100,164248
1740487274.792022,3151785.000,49101,2,PR,1,100,164352
1740487274.836358,3151829.333,49120,3,PR,1,100,164419
1740487274.880693,3151873.667,49120,3,PR,1,100,164456
1740487274.925028,3151918.000,49120,3,PR,1,100,164427
1740487274.965030,3151958.000,49136,2,PR,1,100,164406
1740487275.005031,3151998.000,49136,2,PR,1,100,164454
1740487275.045033,3152038.000,49152,3,PR,1,100,164499
1740487275.085034,3152078.000,49152,3,PR,1,100,164514
1740487275.125036,3152118.000,49152,3,PR,1,100,164554
1740487275.165038,3152158.000,49168,2,PR,1,100,164604
1740487275.205039,3152198.000,49168,2,PR,1,100,164604
1740487275.245041,3152238.000,49185,3,PR,1,100,164295
1740487275.285043,3152278.000,49185,3,PR,1,100,163853
1740487275.325044,3152318.000,49185,3,PR,1,100,163808
1740487275.365046,3152358.000,49201,2,PR,1,100,163976
1740487275.405048,3152398.000,49201,2,PR,1,100,164175
1740487275.445049,3152438.000,49219,3,PR,1,100,164317
1740487275.485051,3152478.000,49219,3,PR,1,100,164392
1740487275.525052,3152518.000,49219,3,PR,1,100,164403
1740487275.565054,3152558.000,49235,2,PR,1,100,164384
1740487275.605056,3152598.000,49235,2,PR,1,100,164400
1740487275.645057,3152638.000,49252,3,PR,1,100,164412
1740487275.685059,3152678.000,49252,3,PR,1,100,164431
1740487275.725061,3152718.000,49252,3,PR,1,100,164464
1740487275.765062,3152758.000,49269,3,PR,1,100,164504
1740487275.805064,3152798.000,49269,3,PR,1,100,164505
1740487275.845066,3152838.000,49269,3,PR,1,100,164547
1740487275.885067,3152878.000,49284,2,PR,1,100,164501
1740487275.925069,3152918.000,49284,2,PR,1,100,164024
1740487275.965070,3152958.000,49300,3,PR,1,100,163715
1740487276.005072,3152998.000,49300,3,PR,1,100,163792
1740487276.045074,3153038.000,49300,3,PR,1,100,163993
1740487276.085075,3153078.000,49318,2,PR,1,100,164147
1740487276.125077,3153118.000,49318,2,PR,1,100,164261
1740487276.165079,3153158.000,49336,3,PR,1,100,164319
1740487276.205080,3153198.000,49336,3,PR,1,100,164300
1740487276.245082,3153238.000,49336,3,PR,1,100,164277
1740487276.285084,3153278.000,49352,4,PR,1,100,164302
1740487276.325085,3153318.000,49352,4,PR,1,100,164309
1740487276.365087,3153358.000,49352,4,PR,1,100,164336
1740487276.405088,3153398.000,49352,4,PR,1,100,164394
1740487276.445090,3153438.000,49369,3,PR,1,100,164398
1740487276.485092,3153478.000,49369,3,PR,1,100,164395
1740487276.525093,3153518.000,49369,3,PR,1,100,164425
1740487276.565095,3153558.000,49386,2,PR,1,100,164459
1740487276.605097,3153598.000,49386,2,PR,1,100,164409
1740487276.645098,3153638.000,49400,3,PR,1,100,163952
1740487276.685100,3153678.000,49400,3,PR,1,100,163633
1740487276.725102,3153718.000,49400,3,PR,1,100,163715
1740487276.765103,3153758.000,49418,2,PR,1,100,163886
1740487276.805105,3153798.000,49418,2,PR,1,100,164088
1740487276.845106,3153838.000,49436,3,PR,1,100,164203
1740487276.885108,3153878.000,49436,3,PR,1,100,164252
1740487276.925110,3153918.000,49436,3,PR,1,100,164237
1740487276.965111,3153958.000,49453,3,PR,1,100,164221
1740487277.005113,3153998.000,49453,3,PR,1,100,164217
1740487277.045115,3154038.000,49453,3,PR,1,100,164247
1740487277.091617,3154084.500,49468,2,PR,1,100,164275
1740487277.138118,3154131.000,49468,2,PR,1,100,164319
1740487277.178120,3154171.000,49485,2,PR,1,100,164354
1740487277.218122,3154211.000,49485,2,PR,1,100,164354
1740487277.258123,3154251.000,49501,3,PR,1,100,164368
1740487277.298125,3154291.000,49501,3,PR,1,100,164407
1740487277.338127,3154331.000,49501,3,PR,1,100,164347
1740487277.378128,3154371.000,49518,2,PR,1,100,163917
1740487277.418130,3154411.000,49518,2,PR,1,100,163641
1740487277.458132,3154451.000,49534,3,PR,1,100,163735
1740487277.498133,3154491.000,49534,3,PR,1,100,163940
1740487277.538135,3154531.000,49534,3,PR,1,100,164103
1740487277.578137,3154571.000,49552,2,PR,1,100,164201
1740487277.618138,3154611.000,49552,2,PR,1,100,164249
1740487277.658140,3154651.000,49568,3,PR,1,100,164249
1740487277.698141,3154691.000,49568,3,PR,1,100,164199
1740487277.738143,3154731.000,49568,3,PR,1,100,164219
1740487277.778145,3154771.000,49586,2,PR,1,100,164260
1740487277.818146,3154811.000,49586,2,PR,1,100,164293
1740487277.858148,3154851.000,49601,3,PR,1,100,164323
1740487277.898150,3154891.000,49601,3,PR,1,100,164340
1740487277.938151,3154931.000,49601,3,PR,1,100,164382
1740487277.978153,3154971.000,49617,3,PR,1,100,164403
1740487278.018155,3155011.000,49617,3,PR,1,100,164389
1740487278.058156,3155051.000,49617,3,PR,1,100,164109
1740487278.098158,3155091.000,49634,2,PR,1,100,163721
1740487278.138159,3155131.000,49634,2,PR,1,100,163718
1740487278.178161,3155171.000,49651,3,PR,1,100,163920
1740487278.218163,3155211.000,49651,3,PR,1,100,164138
1740487278.258164,3155251.000,49651,3,PR,1,100,164254
1740487278.298166,3155291.000,49669,2,PR,1,100,164293
1740487278.338168,3155331.000,49669,2,PR,1,100,164268
1740487278.378169,3155371.000,49685,3,PR,1,100,164267
1740487278.418171,3155411.000,49685,3,PR,1,100,164258
