LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1709495470.486976,61151.000,7369,3,PG,1,100,8747
1709495470.526977,61191.000,7369,3,PG,1,100,8723
1709495470.566977,61231.000,7385,2,PG,1,100,8705
1709495470.606978,61271.000,7385,2,PG,1,100,8724
1709495470.646978,61311.000,7404,3,PG,1,100,8748
1709495470.686979,61351.000,7404,3,PG,1,100,8778
1709495470.726979,61391.000,7404,3,PG,1,100,8818
1709495470.773480,61437.500,7419,2,PG,1,100,8850
1709495470.819980,61484.000,7419,2,PG,1,100,8885
1709495470.859981,61524.000,7436,2,PG,1,100,8912
1709495470.899981,61564.000,7436,2,PG,1,100,8930
1709495470.939981,61604.000,7452,3,PG,1,100,8973
1709495470.979982,61644.000,7452,3,PG,1,100,8997
1709495471.019982,61684.000,7452,3,PG,1,100,9034
1709495471.059983,61724.000,7470,3,PG,1,100,9057
1709495471.099983,61764.000,7470,3,PG,1,100,9105
1709495471.139984,61804.000,7470,3,PG,1,100,9136
1709495471.179984,61844.000,7484,2,PG,1,100,9173
1709495471.219985,61884.000,7484,2,PG,1,100,9193
1709495471.259985,61924.000,7501,3,PG,1,100,9250
1709495471.299986,61964.000,7501,3,PG,1,100,9277
1709495471.339986,62004.000,7501,3,PG,1,100,9322
1709495471.379986,62044.000,7518,2,PG,1,100,9306
1709495471.419987,62084.000,7518,2,PG,1,100,9177
1709495471.459987,62124.000,7535,3,PG,1,100,9022
1709495471.499988,62164.000,7535,3,PG,1,100,8919
1709495471.539988,62204.000,7535,3,PG,1,100,8871
1709495471.579989,62244.000,7550,2,PG,1,100,8838
1709495471.619989,62284.000,7550,2,PG,1,100,8870
1709495471.659990,62324.000,7573,3,PG,1,100,8881
1709495471.699990,62364.000,7573,3,PG,1,100,8878
1709495471.739991,62404.000,7573,3,PG,1,100,8867
1709495471.779991,62444.000,7590,2,PG,1,100,8854
1709495471.819991,62484.000,7590,2,PG,1,100,8855
1709495471.859992,62524.000,7609,3,PG,1,100,8864
1709495471.899992,62564.000,7609,3,PG,1,100,8903
1709495471.939993,62604.000,7609,3,PG,1,100,8937
1709495471.979993,62644.000,7625,2,PG,1,100,8963
1709495472.019994,62684.000,7625,2,PG,1,100,9005
1709495472.059994,62724.000,7641,3,PG,1,100,9018
1709495472.099995,62764.000,7641,3,PG,1,100,9059
1709495472.139995,62804.000,7641,3,PG,1,100,9080
1709495472.179996,62844.000,7657,2,PG,1,100,9124
1709495472.219996,62884.000,7657,2,PG,1,100,9136
1709495472.259996,62924.000,7674,3,PG,1,100,9176
1709495472.299997,62964.000,7674,3,PG,1,100,9222
