LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1709495472.700001,63364.000,7738,2,PI,1,100,157735
1709495472.740002,63404.000,7738,2,PI,1,100,157905
1709495472.780002,63444.000,7754,3,PI,1,100,158115
1709495472.820003,63484.000,7754,3,PI,1,100,158328
1709495472.860003,63524.000,7754,3,PI,1,100,158362
1709495472.900004,63564.000,7771,2,PI,1,100,158198
1709495472.940004,63604.000,7771,2,PI,1,100,158088
1709495472.980005,63644.000,7787,3,PI,1,100,158109
1709495473.020005,63684.000,7787,3,PI,1,100,158189
1709495473.060006,63724.000,7787,3,PI,1,100,158299
1709495473.100006,63764.000,7805,2,PI,1,100,158428
1709495473.140006,63804.000,7805,2,PI,1,100,158549
1709495473.180007,63844.000,7821,3,PI,1,100,158643
1709495473.220007,63884.000,7821,3,PI,1,100,158761
1709495473.260008,63924.000,7821,3,PI,1,100,158825
1709495473.300008,63964.000,7836,2,PI,1,100,158918
1709495473.340009,64004.000,7836,2,PI,1,100,158956
1709495473.384343,64048.333,7853,3,PI,1,100,159055
1709495473.428676,64092.667,7853,3,PI,1,100,159130
1709495473.473010,64137.000,7853,3,PI,1,100,159243
1709495473.513011,64177.000,7870,2,PI,1,100,159343
1709495473.553011,64217.000,7870,2,PI,1,100,159514
1709495473.593012,64257.000,7886,3,PI,1,100,159614
1709495473.633012,64297.000,7886,3,PI,1,100,159326
1709495473.673013,64337.000,7886,3,PI,1,100,158544
1709495473.713013,64377.000,7902,2,PI,1,100,158012
1709495473.753013,64417.000,7902,2,PI,1,100,157907
1709495473.793014,64457.000,7918,3,PI,1,100,158032
1709495473.833014,64497.000,7918,3,PI,1,100,158224
1709495473.873015,64537.000,7918,3,PI,1,100,158460
1709495473.913015,64577.000,7935,2,PI,1,100,158564
1709495473.953016,64617.000,7935,2,PI,1,100,158428
1709495473.993016,64657.000,7954,3,PI,1,100,158259
1709495474.033017,64697.000,7954,3,PI,1,100,158250
1709495474.073017,64737.000,7954,3,PI,1,100,158340
1709495474.113018,64777.000,7971,2,PI,1,100,158456
1709495474.153018,64817.000,7971,2,PI,1,100,158564
1709495474.193018,64857.000,7987,3,PI,1,100,158649
1709495474.233019,64897.000,7987,3,PI,1,100,158774
1709495474.273019,64937.000,7987,3,PI,1,100,158870
1709495474.313020,64977.000,8004,2,PI,1,100,158967
1709495474.353020,65017.000,8004,2,PI,1,100,159017
1709495474.393021,65057.000,8021,3,PI,1,100,159093
1709495474.433021,65097.000,8021,3,PI,1,100,159182
1709495474.473022,65137.000,8021,3,PI,1,100,159264
1709495474.513022,65177.000,8038,2,PI,1,100,159348
1709495474.553023,65217.000,8038,2,PI,1,100,159474
1709495474.593023,65257.000,8052,3,PI,1,100,159630
1709495474.633023,65297.000,8052,3,PI,1,100,159696
1709495474.673024,65337.000,8052,3,PI,1,100,159163
1709495474.713024,65377.000,8070,3,PI,1,100,158195
1709495474.753025,65417.000,8070,3,PI,1,100,157581
1709495474.793025,65457.000,8070,3,PI,1,100,157458
1709495474.833026,65497.000,8088,2,PI,1,100,157452
1709495474.873026,65537.000,8088,2,PI,1,100,157476
1709495474.913027,65577.000,8105,3,PI,1,100,157591
1709495474.953027,65617.000,8105,3,PI,1,100,157707
1709495474.993027,65657.000,8105,3,PI,1,100,157653
1709495475.033028,65697.000,8120,2,PI,1,100,157521
1709495475.073028,65737.000,8120,2,PI,1,100,157441
1709495475.113029,65777.000,8137,3,PI,1,100,157522
1709495475.153029,65817.000,8137,3,PI,1,100,157633
1709495475.193030,65857.000,8137,3,PI,1,100,157740
1709495475.233030,65897.000,8155,2,PI,1,100,157882
1709495475.273031,65937.000,8155,2,PI,1,100,158015
1709495475.313031,65977.000,8172,3,PI,1,100,158111
1709495475.353032,66017.000,8172,3,PI,1,100,158224
1709495475.393032,66057.000,8172,3,PI,1,100,158318
1709495475.433032,66097.000,8187,2,PI,1,100,158414
1709495475.473033,66137.000,8187,2,PI,1,100,158484
1709495475.513033,66177.000,8204,3,PI,1,100,158620
1709495475.553034,66217.000,8204,3,PI,1,100,158724
1709495475.593034,66257.000,8204,3,PI,1,100,158844
1709495475.633035,66297.000,8220,2,PI,1,100,158927
1709495475.673035,66337.000,8220,2,PI,1,100,159052
1709495475.713036,66377.000,8238,3,PI,1,100,159220
1709495475.753036,66417.000,8238,3,PI,1,100,159346
1709495475.793037,66457.000,8238,3,PI,1,100,159181
1709495475.833037,66497.000,8252,2,PI,1,100,158233
1709495475.873037,66537.000,8252,2,PI,1,100,157373
1709495475.917371,66581.333,8269,3,PI,1,100,157055
1709495475.961705,66625.667,8269,3,PI,1,100,157058
1709495476.006039,66670.000,8269,3,PI,1,100,157057
1709495476.046039,66710.000,8286,2,PI,1,100,157072
1709495476.086040,66750.000,8286,2,PI,1,100,157213
1709495476.126040,66790.000,8303,3,PI,1,100,157267
1709495476.166041,66830.000,8303,3,PI,1,100,157161
1709495476.206041,66870.000,8303,3,PI,1,100,157064
1709495476.246042,66910.000,8318,2,PI,1,100,157077
1709495476.286042,66950.000,8318,2,PI,1,100,157169
1709495476.326043,66990.000,8336,3,PI,1,100,157318
1709495476.366043,67030.000,8336,3,PI,1,100,157457
1709495476.406044,67070.000,8336,3,PI,1,100,157578
1709495476.446044,67110.000,8353,2,PI,1,100,157716
1709495476.486044,67150.000,8353,2,PI,1,100,157822
1709495476.526045,67190.000,8370,3,PI,1,100,157944
1709495476.566045,67230.000,8370,3,PI,1,100,158052
1709495476.606046,67270.000,8370,3,PI,1,100,158167
1709495476.646046,67310.000,8386,2,PI,1,100,158261
1709495476.686047,67350.000,8386,2,PI,1,100,158362
1709495476.726047,67390.000,8407,3,PI,1,100,158482
1709495476.766048,67430.000,8407,3,PI,1,100,158616
1709495476.806048,67470.000,8407,3,PI,1,100,158746
1709495476.846049,67510.000,8423,2,PI,1,100,158867
1709495476.886049,67550.000,8423,2,PI,1,100,159007
1709495476.926049,67590.000,8440,3,PI,1,100,159099
1709495476.966050,67630.000,8440,3,PI,1,100,159163
1709495477.006050,67670.000,8440,3,PI,1,100,159299
1709495477.046051,67710.000,8457,3,PI,1,100,159434
